Year of Installation,SA,AADT,PRESSURE(bar),MWI_1,A_MAT,LANDUSE,TYPE,LPR_Corros,DEFECT1LV1,DEF_NATURE
1991,2.88723,80000,5.2,5.48744444,DI,URBAN,Other Location,Non-Corrosive,C01,M
1994,13.419261,10750,7.7,5.318733536,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,0.833199,20910,5,6.086391906,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
2002,0.4024224,10030,5.21,5.983876758,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2001,47.795196,16630,6.22,6.009163726,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2004,1.191159,15770,5.36,6.052525203,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1996,0.858476,,6.89,6.24708587,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1991,89.719848,51470,9.76,5.48744444,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1986,4.237116,16810,7.1,6.086391906,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2001,2.871216,7640,7.03,5.724335712,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2002,2.696475,56400,4.87,6.260337604,DI,RURAL,FOOTWAY,Mildly Corrosive,C03,M
1980,1.499193,5940,6.27,5.166580202,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C05,N
1995,0.600525,6810,7.78,5.20995187,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1989,0.502714,77310,6.2,5.6239506,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1980,3.793905,47410,7.64,5.394331878,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1990,82.7134875,,5.89,5.860077301,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C03,J
1994,1.1775,16490,9.22,5.711518987,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1990,1.115956,62090,5.51,5.760922711,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1994,0.430494,3270,4.29,5.760922711,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
2004,1.241085,,5.93,5.704680525,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1989,157.033912,16400,9.22,8.815172612,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1983,24.930972,,6.49,5.19376619,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2009,3.56547,17960,9.15,5.711207147,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2006,0.729108,,4.31,5.760922711,DI,RURAL,Other Location,Mildly Corrosive,C03,M
2006,0.447921,5440,2.11,5.405900146,DI,RURAL,FOOTWAY,Mildly Corrosive,C03,M
1990,0.2672768,14880,5.64,5.544202936,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1997,7.0376192,,1.25,5.480511786,DI,RURAL,Other Location,Mildly Corrosive,C02,J
1997,12.338316,44440,5.67,5.566854517,DI,URBAN,Other Location,Mildly Corrosive,C03,J
1997,1.351456,44440,5.81,5.566854517,DI,URBAN,Other Location,Mildly Corrosive,C03,M
2007,185.96964,,6.24,5.750318012,DI,URBAN,Other Location,Mildly Corrosive,C03,J
1995,3.77114,13520,7.87,5.665515663,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,0.750303,13660,7.17,5.665515663,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,J
1990,70.98127,10900,5.28,5.559656601,DI,URBAN,Other Location,Mildly Corrosive,C03,M
2002,0.55578,16090,13.06,5.729224562,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,J
1987,8.723391,17270,7.79,5.273591733,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1992,4.9441184,,13.37,5.124711042,DI,RURAL,Other Location,Mildly Corrosive,C02,J
1999,10.23012,12500,7.55,5.686969404,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1999,45.910254,45080,10.8,5.69423034,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1990,0.487328,21350,6.13,5.779313182,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
1980,3.504711,16880,4.83,5.713262842,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1999,0.7907776,,6.13,5.992690592,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1986,0.996165,28550,6.56,5.318548924,DI,URBAN,FOOTWAY,Non-Corrosive,C03,M
2001,24.606924,7460,4.22,5.713262842,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
2003,1.545822,,6.42,5.318733536,DI,URBAN,FOOTWAY,Non-Corrosive,C03,J
1984,125.6,,3.37,9.182165516,DI,RURAL,Other Location,Mildly Corrosive,C03,J
1991,16.0614768,,0.89,5.031029214,DI,RURAL,Other Location,Non-Corrosive,C02,J
1990,50.727642,12070,6.75,5.336714102,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C02,J
1980,5.290272,23500,7.85,5.440700899,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,N
1984,0.592204,14810,5.33,5.515853496,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,M
2002,9.835108,28820,9.22,5.44931816,DI,URBAN,FOOTWAY,Highly Corrosive,C03,J
1991,0.2672768,30920,7.58,5.501875486,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2001,22.175936,,5.5,5.475336392,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1991,0.538824,2990,12.21,5.399608124,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1994,1.908021,5670,4.16,5.38647954,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1991,43.224612,8490,7.39,5.503465611,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1988,4.99731,60230,7.09,5.506483322,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1992,0.389674,6410,7.7,5.467583427,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1996,0.27632,860,6.08,5.863517365,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1996,22.05222,10030,5.21,5.796981207,DI,RURAL,Other Location,Mildly Corrosive,C03,M
1980,0.642915,14790,2.04,5.339267573,DI,RURAL,FOOTWAY,Mildly Corrosive,C04,M
2002,11.587542,,8.17,5.579930546,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2009,2.318576,10030,5.28,5.540547437,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C01,M
1980,25.03836,16150,7.78,5.607083594,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1992,23.192668,9940,9.15,5.809271644,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,4.92666,,6.89,6.043273082,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1996,15.008886,,6.89,6.043273082,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1998,2.193918,,5.22,5.399530987,DI,RURAL,Other Location,Non-Corrosive,C01,J
1999,1.528866,,5.92,5.809271644,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2003,49.135034,,8.17,5.728800527,DI,RURAL,Other Location,Mildly Corrosive,C03,J
1991,0.679653,13130,6.2,5.8332942,DI,URBAN,FOOTWAY,Mildly Corrosive,C04,M
1996,0.4441216,,5.22,5.596162874,DI,RURAL,Other Location,Non-Corrosive,C01,M
1986,0.608218,20280,6.56,20.83968828,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,0.836967,59900,6.27,6.276251886,DI,RURAL,FOOTWAY,Mildly Corrosive,C05,J
2001,12.208791,,4.22,5.634253601,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2008,6.546429,7460,4.16,5.634253601,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,J
1991,0.506796,7500,3.62,5.516793799,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1994,22.076712,11780,6.89,6.276251886,DI,RURAL,FOOTWAY,Mildly Corrosive,C01,M
