Duration,Status,No. of previous failures,LENGTH,A_DIAM,Year,PRESSURE(bar),Failure Year,AADT (traffic) ( When failure occurred ),Mean Dew Point (deg. C) ( When failure occurred ),Mean Relative Humidity (%) ( When failure occurred ),Total Rainfall (mm) ( When failure occurred ),LANDUSE,LPR_Corros,A_MAT,TYPE,FAULT_TYPE,DEFECT1LV1,DEF_NATURE
3,1,0,0.367,250,2007,1.79,2010,62340,12.7,74,,URBAN,Mildly Corrosive,S,Other Location,BURST,C05,M
8,1,1,14.681,200,2007,0.8,2015,11280,20.9,76,,URBAN,Non-Corrosive,DI,Other Location,BURST,C05,M
29,1,0,2.033,150,1985,5.98,2014,14490,10.4,77,30.5,URBAN,Mildly Corrosive,S,FOOTWAY,BURST,C03,J
29,1,0,4.076,150,1991,6.72,2020,31440,18.5,84,41.3,URBAN,Mildly Corrosive,DI,FOOTWAY,BURST,C02,M
7,1,0,53.154,100,2003,2.06,2010,0,,,43,RURAL,Mildly Corrosive,PE,Other Location,BURST,C02,J
30,1,0,26.439,250,1989,5.49,2019,5830,25.9,81,328.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C05,M
21,1,0,58.776,150,1993,5.71,2014,9780,23.7,86,687.3,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C05,M
25,1,0,17.006,300,1985,11.59,2010,85220,25.1,81,,RURAL,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C03,M
12,1,1,114.672,200,2004,5.42,2016,0,12.5,84,248,RURAL,Mildly Corrosive,PE,CARRIAGEWAY,BURST,C02,J
17,1,0,22.409,150,1993,7.87,2010,2500,25.7,84,,URBAN,Highly Corrosive,DI,FOOTWAY,BURST,C05,M
3,1,0,6.674,150,2009,7.17,2012,4960,25.1,80,183,URBAN,Highly Corrosive,S,CARRIAGEWAY,BURST,C03,M
10,1,0,79.182,100,2007,8.22,2017,0,15.7,71,2,RURAL,Mildly Corrosive,S,Other Location,BURST,C02,M
9,1,0,14.002,300,2006,0.96,2015,52120,24.5,85,513,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C03,M
23,1,0,3.736,150,1994,5.37,2017,15260,25.9,86,566.5,URBAN,Mildly Corrosive,DI,FOOTWAY,BURST,C01,M
5,1,0,6.401,150,2007,7.02,2012,14690,12.6,84,32,URBAN,Non-Corrosive,PE,FOOTWAY,BURST,C02,J
4,1,0,8.205,150,2007,7.09,2011,15930,8.4,60,2.5,URBAN,Non-Corrosive,PE,FOOTWAY,BURST,C02,M
35,1,0,125.854,450,1981,8.8,2016,18570,24.6,80,450.5,URBAN,Mildly Corrosive,S,CARRIAGEWAY,BURST,C03,M
25,1,1,32.08,200,1985,7.72,2010,27640,10.1,66,,RURAL,Highly Corrosive,DI,FOOTWAY,BURST,C03,J
21,1,0,29.958,375,1991,6.29,2012,0,21.1,67,86,URBAN,Mildly Corrosive,DI,Other Location,BURST,C01,M
14,1,1,38.59,450,2004,4.28,2018,0,24.4,86,268.5,URBAN,Mildly Corrosive,DI,Other Location,BURST,C03,J
27,1,0,74.251,600,1985,7.03,2012,5900,19.6,76,294,URBAN,Mildly Corrosive,S,CARRIAGEWAY,BURST,C05,M
8,1,0,4.314,200,2006,7.17,2014,6170,24.7,81,196,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C03,M
12,1,1,111.891,800,2004,6.13,2016,3690,22.9,82,324,URBAN,Mildly Corrosive,S,FOOTWAY,BURST,C01,M
22,1,0,1.737,150,1989,6.27,2011,30020,24.3,80,322.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C05,M
16,1,1,6.433,450,2001,4.56,2017,20260,21.5,77,525,URBAN,Mildly Corrosive,DI,Other Location,BURST,C01,M
26,1,0,37.145,200,1990,9.08,2016,41450,25,78,200,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C03,M
7,1,1,1.947,150,2004,3.63,2011,5060,22.3,71,79,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C05,M
34,1,0,2.221,200,1980,6.55,2014,13640,23.8,86,545.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C03,M
37,1,0,55.794,450,1980,9.08,2017,30710,19.6,81,61,URBAN,Highly Corrosive,DI,CARRIAGEWAY,BURST,C03,J
62,1,0,39.733,685,1950,7.78,2012,113000,19.7,73,47,RURAL,Mildly Corrosive,S,FOOTWAY,BURST,C01,J
32,1,0,4.441,200,1985,0.66,2017,2700,19.2,81,110,URBAN,Mildly Corrosive,DI,Other Location,BURST,C01,M
10,1,0,77.458,250,2006,6.65,2016,13450,25.2,84,532.7,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C01,M
22,1,0,75.012,150,1990,7.78,2012,0,13.1,85,29.5,URBAN,Mildly Corrosive,DI,FOOTWAY,BURST,C01,M
17,1,0,3.245,150,1994,6.2,2011,21580,15.2,84,47.5,URBAN,Mildly Corrosive,DI,FOOTWAY,BURST,C01,M
33,1,0,2.157,200,1983,12.48,2016,24800,23.1,83,234.7,URBAN,Non-Corrosive,DI,FOOTWAY,BURST,C05,M
29,1,0,0.699,150,1991,9.03,2020,17290,17,83,69,URBAN,Non-Corrosive,DI,FOOTWAY,BURST,C05,M
14,1,0,33.56,200,2004,5.94,2018,850,23.7,77,57.5,URBAN,Mildly Corrosive,S,CARRIAGEWAY,BURST,C03,M
9,1,0,1.137,100,2002,5.98,2011,9990,22.8,77,154,URBAN,Mildly Corrosive,DI,FOOTWAY,BURST,C03,J
20,1,0,4.871,200,1995,5.08,2015,89090,11.2,72,41.7,URBAN,Non-Corrosive,DI,FOOTWAY,BURST,C03,M
48,1,0,0.929,150,1966,5.5,2014,39600,7.3,66,0,URBAN,Mildly Corrosive,S,CARRIAGEWAY,BURST,C01,M
35,1,0,26.44,150,1983,7.79,2018,13730,19.2,75,,URBAN,Highly Corrosive,DI,CARRIAGEWAY,BURST,C02,M
12,1,0,1.682,100,1999,7.09,2011,22540,25.1,82,218.5,URBAN,Non-Corrosive,PE,FOOTWAY,BURST,C05,J
52,1,0,3.886,375,1965,8.23,2017,5280,19.2,64,,URBAN,Highly Corrosive,S,CARRIAGEWAY,BURST,C01,J
28,1,0,55.045,600,1982,7.75,2010,60080,25,82,,URBAN,Highly Corrosive,S,CARRIAGEWAY,BURST,C03,J
15,1,0,20.902,200,1997,7.64,2012,48240,24.7,83,276.5,URBAN,Non-Corrosive,DI,CARRIAGEWAY,BURST,C05,M
32,1,0,35.501,250,1983,7.93,2015,22470,24.7,80,,RURAL,Mildly Corrosive,DI,FOOTWAY,BURST,C01,M
16,1,0,1.397,150,1997,7.64,2013,47080,18.5,85,236,URBAN,Non-Corrosive,DI,FOOTWAY,BURST,C05,M
24,1,0,10.03,200,1986,6.33,2010,15840,18.1,89,115.5,URBAN,Highly Corrosive,DI,CARRIAGEWAY,BURST,C05,M
2,1,0,92.817,300,2017,6.07,2019,11520,16.7,78,62.7,URBAN,Mildly Corrosive,DI,Other Location,BURST,C03,M
19,1,0,2.718,150,1997,5.86,2016,0,25.2,80,149,RURAL,Mildly Corrosive,DI,Other Location,BURST,C01,M
3,1,0,5.869,150,2007,7.71,2010,18570,24.4,82,551,URBAN,Non-Corrosive,PE,FOOTWAY,BURST,C02,M
28,1,0,105.792,600,1982,7.68,2010,10840,15.5,85,,URBAN,Highly Corrosive,S,FOOTWAY,BURST,C01,M
7,1,0,200,80,2004,6.15,2011,0,24.7,82,238,RURAL,Highly Corrosive,PE,Other Location,BURST,C03,M
22,1,0,76.598,200,1991,6.55,2013,7300,26,88,315,RURAL,Mildly Corrosive,DI,FOOTWAY,BURST,C05,M
8,1,0,11.945,200,2002,7.09,2010,11960,10,63,19,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,BURST,C03,M
29,1,0,1.312,600,1984,8,2013,24470,6.5,61,,URBAN,Highly Corrosive,S,CARRIAGEWAY,BURST,C01,J
7,1,0,32.417,600,2013,7.86,2020,28950,24.3,86,,URBAN,Mildly Corrosive,DI,FOOTWAY,BURST,C05,J
30,1,0,15.803,150,1986,7.17,2016,22950,21.6,88,195.5,URBAN,Highly Corrosive,DI,CARRIAGEWAY,BURST,C03,M
